CEER,STATEDIST,STATE,GRAD YR
546,OH03,OH,2000
507,CO05,CO,2000
554,TN03,TN,2000
469,PA01,PA,2000
669,CA25,CA,2000
552,DEAL,DE,2000
657,GA04,GA,2000
529,TX21,TX,2000
422,TX08,TX,2000
528,SC01,SC,2000
446,NC06,NC,2000
537,IL11,IL,2000
574,NY20,NY,2000
547,NJ01,NJ,2000
558,IL10,IL,2000
509,NV02,NV,2000
577,IL11,IL,2000
551,MO09,MO,2000
566,HI01,HI,2000
508,FL11,FL,2000
500,TX30,TX,2000
594,OH11,OH,2000
590,VA10,VA,2000
648,NY08,NY,2000
560,VA04,VA,2000
529,VA01,VA,2000
459,CA41,CA,2000
583,DCZZ,DC,2000
601,OH08,OH,2000
533,MI03,MI,2000
547,AL04,AL,2000
629,CA47,CA,2000
561,OH01,OH,2000
524,TX11,TX,2000
636,TX09,TX,2000
578,GA04,GA,2000
527,OH02,OH,2000
510,MD08,MD,2000
559,VA04,VA,2000
605,MD05,MD,2000
568,SC02,SC,2000
555,NJZZ,NJ,2000
550,IL13,IL,2000
602,MI16,MI,2000
675,WA09,WA,2000
549,FL01,FL,2000
601,NJ02,NJ,2000
606,NJ04,NJ,2000
590,NJ03,NJ,2000
585,OH11,OH,2000
541,CA10,CA,2000
512,LA02,LA,2000
540,MD02,MD,2000
642,WI06,WI,2000
535,OH19,OH,2000
549,MD03,MD,2000
552,LA06,LA,2000
546,PA01,PA,2000
502,NE02,NE,2000
499,AL07,AL,2000
639,VA04,VA,2000
499,GA03,GA,2000
508,TX02,TX,2000
542,NC12,NC,2000
535,NY07,NY,2000
558,VA11,VA,2000
544,IL15,IL,2000
533,IL11,IL,2000
514,MI02,MI,2000
557,MO01,MO,2000
583,OH11,OH,2000
525,TX23,TX,2000
603,TX11,TX,2000
578,TN03,TN,2000
509,TN03,TN,2000
598,MI06,MI,2000
454,FL03,FL,2000
624,NJ08,NJ,2000
567,VA08,VA,2000
531,NC07,NC,2000
577,PA17,PA,2001
603,AL03,AL,2001
620,NY26,NY,2001
600,IL09,IL,2001
500,CA22,CA,2001
604,GA05,GA,2001
562,MD08,MD,2001
448,OH03,OH,2001
521,NJ08,NJ,2001
537,TN07,TN,2001
529,LA02,LA,2001
584,CT06,CT,2001
483,VA04,VA,2001
534,FL20,FL,2001
515,TX14,TX,2001
529,MD05,MD,2001
565,VA01,VA,2001
560,CA37,CA,2001
571,CA52,CA,2001
517,GA02,GA,2001
466,PA18,PA,2001
679,TN07,TN,2001
524,NY20,NY,2001
529,WA08,WA,2001
610,NJZZ,NJ,2001
482,MD08,MD,2001
558,NJ06,NJ,2001
533,NY08,NY,2001
538,MD04,MD,2001
496,CA45,CA,2001
581,CA50,CA,2001
482,GA07,GA,2001
457,NY07,NY,2001
518,TX30,TX,2001
503,CA40,CA,2001
583,OH15,OH,2001
572,GA05,GA,2001
552,TX30,TX,2001
513,OH11,OH,2001
545,GA10,GA,2001
525,PA19,PA,2001
505,SC01,SC,2001
521,TX02,TX,2001
562,LA05,LA,2001
427,MS04,MS,2001
536,TX08,TX,2001
475,LA07,LA,2001
548,IL15,IL,2001
615,CA23,CA,2001
552,VA11,VA,2001
467,VA08,VA,2001
548,VA07,VA,2001
559,CA32,CA,2001
593,OK01,OK,2001
656,NJZZ,NJ,2001
624,NJ12,NJ,2001
561,GA11,GA,2001
534,MI13,MI,2001
546,TX04,TX,2001
611,MI15,MI,2001
590,VA07,VA,2001
581,FL21,FL,2001
583,KY03,KY,2001
534,TX06,TX,2001
522,TX06,TX,2001
528,CA37,CA,2001
676,TX04,TX,2001
633,VA09,VA,2001
625,MO07,MO,2001
584,KY01,KY,2001
541,NY05,NY,2001
520,NJ11,NJ,2001
546,MD04,MD,2001
552,AL06,AL,2001
558,MA07,MA,2001
590,MO01,MO,2001
551,TX20,TX,2001
535,NY01,NY,2001
450,GA02,GA,2001
579,WI05,WI,2001
556,VA01,VA,2001
439,GA04,GA,2001
528,IL06,IL,2001
586,NJ03,NJ,2001
609,TX22,TX,2002
555,FL04,FL,2002
577,FL20,FL,2002
589,NY07,NY,2002
430,FL17,FL,2002
528,OH04,OH,2002
522,VA08,VA,2002
560,AL07,AL,2002
592,CA37,CA,2002
585,IL17,IL,2002
545,LA07,LA,2002
520,MD04,MD,2002
0,GA06,GA,2002
578,AL03,AL,2002
613,FL15,FL,2002
449,MI15,MI,2002
544,CA04,CA,2002
497,MD06,MD,2002
604,AL05,AL,2002
568,NJ03,NJ,2002
573,IL20,IL,2002
510,IL08,IL,2002
471,MD06,MD,2002
601,WA06,WA,2002
517,TX22,TX,2002
517,NC08,NC,2002
497,NY21,NY,2002
550,KS02,KS,2002
601,TX30,TX,2002
522,DCOL,DC,2002
535,NC03,NC,2002
